,name,formatted_address,website,rating,lat,lng,distance_Lerma,distance_Florencia,distance_Fortuna,distance_Santa_Fe,distance_Tlalpan
158,Toyota Puerta Santa Fe,"Vasco de Quiroga 2000, Santa Fe, Zedec Sta Fé, Cuajimalpa de Morelos, 01210 Ciudad de México, CDMX, Mexico",http://www.toyotapuertasantafe.com.mx/,4.3,19.377763899999998,-99.25057790000001,26.93091302725582,10.266050436078821,17.013399425929222,0.4226820854293735,12.99387046396077
159,Porsche Preowned Car Centre Santa Fe,"Avenida Vasco de Quiroga 2000, Zedec Santa Fé, Zedec Sta Fé, Álvaro Obregón, 01219 Ciudad de México, CDMX, Mexico",http://porsche-santafe.com/,4.7,19.3780496,-99.2493023,27.066204376178927,10.134691015981312,16.89466884036666,0.5597987544313898,12.939247936204145
160,Hyundai Santa Fe,"Vasco de Quiroga 2000, Santa Fe, Zedec Sta Fé, Álvaro Obregón, 01210 Ciudad de México, CDMX, Mexico",http://hyundaisantafe.com.mx/,4.1,19.3779917,-99.248834,27.10857364064846,10.095779084566415,16.863653781302503,0.6076036065595865,12.904962157084434
161,Auto Haus Volkswagen,"Carr. México-Toluca 2483, Granjas Palo Alto, Cuajimalpa de Morelos, 05110 Ciudad de México, CDMX, Mexico",http://www.vw-autohaus.com.mx/,4.4,19.383345300000002,-99.25183879999999,27.06835303064673,10.083374290154179,16.692107187962304,0.7301017613431312,13.569927478145223
162,Fame Premier S.A. de C.V.,"Juan Salvador S/n, Contadero, Cuajimalpa de Morelos, 05348 Ciudad de México, CDMX, Mexico",,5.0,19.3604255,-99.27992629999999,23.33876662271315,13.897208199399856,20.583116741944323,3.252348486819159,13.795433146710836
163,Hermer StarClass Automotive,"Vasco de Quiroga 2000, Santa Fe, Zedec Sta Fé, Álvaro Obregón, 01210 Cludad de Mexico, CDMX, Mexico",,1.0,19.367765600000002,-99.2630571,25.28751093429132,11.961295924938963,18.72635464704277,1.380007719432568,13.010220946192957
164,Lincoln Santa Fe,"Prolongacion Paseo de la Reforma 621, Santa Fe, Paseo de las Lomas, Cuajimalpa de Morelos, 01330 Ciudad de México, CDMX, Mexico",http://lincolnmylsa.mx/,4.5,19.369519,-99.26652800000001,25.029357360374892,12.173116004110792,18.862850233767148,1.5220053696430962,13.404821316156164
165,Mercedes-Benz Hermer Santa Fe,"Vasco de Quiroga 3200, Santa Fe, Centro, Álvaro Obregón, 01210 Ciudad de México, CDMX, Mexico",http://hermer.mx/,4.4,19.3666095,-99.2643678,25.110913023309624,12.14592396731279,18.91433850709163,1.5668159769645453,13.016819653565474
166,KIA Santa Fe,"Prolongacion Paseo de la Reforma 1130 Col. Cruz Manca, Santa Fe, Contadero, Cuajimalpa de Morelos, 05300 Ciudad de México, CDMX, Mexico",http://dealers.kia.com/mx/santafe,4.2,19.3625695,-99.26684200000001,24.700034074114985,12.606232793140297,19.410710298579303,2.0770547467511427,12.897002026629256
167,.a,"Av. Ibis 8, Tepeaca, Álvaro Obregón, 01550 Ciudad de México, CDMX, Mexico",,4.2,19.362035199999998,-99.2331513,27.99263547628858,9.88002193603661,17.07489060177277,2.8125967675633783,10.510368836486613
168,autos semi nuevos,"Vasco de Quiroga 3881, Santa Fe, Contadero, Cuajimalpa de Morelos, 05300 Ciudad de México, CDMX, Mexico",http://seminuevos.com/,,19.361713199999997,-99.27767390000001,23.612186170287895,13.620950050943444,20.311529476445383,2.976805600205338,13.698489455698587
169,INFINITI INTERLOMAS,"Vasco de Quiroga 3880, Lomas de Santa Fe, Contadero, Alcaldía de Cuajimalpa, 01210 Ciudad de México, CDMX, Mexico",http://www.infinitiinterlomas.mx/,4.2,19.3613785,-99.27758309999999,23.6065943802862,13.631869645328742,20.32907335692355,2.9906899058556484,13.667804631161301
170,SEAT Santa Fe,"Juan Salvador Agraz 60, Santa Fe, Contadero, Cuajimalpa de Morelos, 05109 Ciudad de México, CDMX, Mexico",http://www.seatsantafe.com.mx/,3.8,19.3589304,-99.2773968,23.52104392188627,13.757218008522628,20.496167492881213,3.14285319239025,13.484075405093572
171,Carlo`s Car,"47, Centro Comercial Interlomas, Blvrd. Interlomas 5, Bosque de las Palmas, 52760 Naucalpan de Juárez, Méx., Mexico",http://www.limpiaorg.com,,19.402085,-99.26991690000001,26.37623404960541,11.159114809933973,16.96292964269606,3.1841527792471855,16.366565633463896
172,Porsche Centre Interlomas,"Centro Urbano San Fernando, Blvd. Magnocentro 10, La Herradura, 52786 Naucalpan de Juárez, Méx., Mexico",http://www.porsche.mx/,4.6,19.4003103,-99.27289880000001,26.00656060213619,11.50938923288542,17.33265151728372,3.1947945360829655,16.402042079902976
173,Porsche,"Blvd. Magnocentro 7, Villa de las Palmas, 52787 Naucalpan de Juárez, Méx., Mexico",http://www.porsche.mx/,4.7,19.400335600000002,-99.2728905,26.008755779888542,11.507877973956834,17.33042166341871,3.1965047156037842,16.403702037569264
174,Volvo Suecia Car Bosques Santa Fe,"Juan Salvador Agraz 73, Santa Fe, Contadero, Cuajimalpa de Morelos, 05348 Ciudad de México, CDMX, Mexico",http://sueciacarbosques.com/,4.0,19.3588683,-99.2782316,23.437242059489673,13.835224215812877,20.56565840723643,3.2146321609938355,13.549094611460156
175,Porsche Santa Fe,"Carr. México-Toluca 5420, La Rosita, El Yaqui, Cuajimalpa de Morelos, 05320 Ciudad de México, CDMX, Mexico",http://www.porsche-santafe.com/,4.4,19.363038500000002,-99.2813989,23.3104820127392,13.885008521873504,20.5095630245429,3.2295816317155333,14.095724777395105
176,Mulsanne Santa Fe,"Juan Salvador Agraz 97, Las Tinajas, Cuajimalpa de Morelos, 05370 Ciudad de México, CDMX, Mexico",http://www.mulsanne.com.mx/,4.7,19.3580845,-99.27801640000001,23.425506000372447,13.862201643271716,20.607387608545682,3.2531813701673546,13.478217570746674
177,Maserati Mexico,"Juan Salvador Agraz 61, Las Tinajas, Cuajimalpa de Morelos, 05370 Ciudad de México, CDMX, Mexico",http://www.maseratimexico.com/,4.9,19.3596409,-99.2794127,23.355084101282014,13.89597148665688,20.60057711022044,3.259579766413835,13.699575111103696
178,Distribuidora Lomas Anahuac,"Blvd. Magnocentro No. 3, La Herradura, 52760 Naucalpan de Juárez, Méx., Mexico",http://www.vw-lomasanahuac.com.mx/,4.1,19.400563000000002,-99.2739803,25.92395564096869,11.613229870288727,17.414081348011702,3.2864129378886417,16.49449081949561
179,Jaguar Land Rover Interlomas,"Boulevard Magnocentro 1 San Fernando La Herradura, San Fernando, 52760 Naucalpan de Juárez, Méx., Mexico",https://retailers.jaguarmexico.com.mx/interlomas,4.6,19.4009484,-99.27398740000001,25.945535243875174,11.604098595794312,17.392196495591357,3.320433022453952,16.52836491123531
180,Audi Center Interlomas,"Blvd. Magnocentro 7, Centro Urbano, San Fernando, 52760 Naucalpan de Juárez, Méx., Mexico",http://www.audicenterinterlomas.com.mx/,4.2,19.400644800000002,-99.2746493,25.868687041849288,11.679488605280042,17.46899644638843,3.337483242649503,16.545392651211532
181,Land Rover Interlomas,"Blvd. Magnocentro 1, La Herradura, 52760 Naucalpan de Juárez, Méx., Mexico",https://retailers.landrover.com.mx/interlomas,4.2,19.3993352,-99.27630140000001,25.645035897129745,11.882214412916683,17.69288624562332,3.3424843143913847,16.5421753252751
182,Jaguar Interlomas,"Blvd. Magnocentro 1, La Herradura, 52760 Naucalpan de Juárez, Méx., Mexico",https://retailers.jaguarmexico.com.mx/interlomas,5.0,19.3993353,-99.2763019,25.644996815120365,11.882262765126267,17.692924999071465,3.3425282721880527,16.542217245033356
183,Hyundai Interlomas,"Via Magna 19, Bosque de las Palmas, 52784 Naucalpan de Juárez, Méx., Mexico",https://hyundaiinterlomas.com.mx/,4.2,19.4022308,-99.2731069,26.098567902523637,11.482123647937616,17.238941323816565,3.3794207292404326,16.582928533006825
184,Seat Interlomas - Grupo Andrade,"Blvd. Magnocentro 3, San Fernando, 52787 La Herradura, Méx., Mexico",http://seatinterlomas.com.mx/,4.0,19.400403,-99.275617,25.768021111815795,11.784566860747859,17.56953035940851,3.3823407539389607,16.58828112375943
185,PICK UPLANDIA S.A DE C.V,"Av Centenario 1002, La Martinica, Álvaro Obregón, 01619 Ciudad de México, CDMX, Mexico",http://www.pickuplandia.com/,3.7,19.3608967,-99.2267574,28.587514978421567,9.509185036718764,16.7724120186556,3.4389093103492367,10.036298478186378
186,MINI Car Dealership Interlomas,"Blvd. Magnocentro 37, La Herradura, 52765 Naucalpan de Juárez, Méx., Mexico",http://www.interlomas.mini.com.mx/,4.3,19.403918899999997,-99.27185,26.30905493133398,11.313367885298844,17.028884360446423,3.462779462886933,16.65090983371812
187,Mercedes Benz Star Haus Interlomas,"Blvd. Magnocentro, Blvrd. Interlomas 37, La Herradura, 52760 Naucalpan de Juárez, Méx., Mexico",https://www.mercedes-benz-starhaus.com.mx/,3.8,19.4043095,-99.2718088,26.335526935874455,11.300297428769998,17.002786283411925,3.4974297839044675,16.682812826261635
188,technicar,"Federal México-toluca (Prol. Paseo de La Reforma) 5407, El Molino, Cuajimalpa de Morelos, 05240 Ciudad de México, CDMX, Mexico",http://technicar.com.mx,4.3,19.3627915,-99.28603570000001,22.853754462587105,14.323737872692666,20.89906073548001,3.6743122759346822,14.464167520097979
189,BMW Autobahn,"Blvd. Magnocentro 31, San Fernando, 52765 Naucalpan de Juárez, Méx., Mexico",https://www.bmw.com.mx/es/distribuidores/autobahn_interlomas.html,4.3,19.4059402,-99.2738515,26.249904477027087,11.475959556432926,17.09514362720988,3.7640372981977515,16.95621175420367
190,Chevrolet Interlomas,"Blvd. Magnocentro 35, La Herradura, 52765 Naucalpan de Juárez, Méx., Mexico",,3.9,19.4056588,-99.274376,26.186701265867324,11.535853054510953,17.158425332719847,3.7679605787929518,16.96483332342324
191,BUICK GMC Interlomas,"Blvd. Magnocentro 35, Centro Urbano, San Fernando, 52760 Naucalpan de Juárez, Méx., Mexico",https://www.buick.com.mx/localiza-distribuidor-buick#!?searchTerm=52765&searchType=postalCode,4.2,19.405743899999997,-99.27467440000001,26.165316179710675,11.564914349508996,17.18077226574005,3.7931800231695685,16.991371334203595
192,Kia Interlomas Huixquilucan,"Blvd. Magnocentro Norte 54, Bosque de las Palmas, 52786 Naucalpan de Juárez, Méx., Mexico",http://dealers.kia.com/mx/interlomas,4.3,19.406006,-99.27511870000001,26.14159174090512,11.60549841748598,17.206607185842834,3.843331207538083,17.042804522626703
193,Honda Certificados Interlomas,"Circuito Empresarial 5, Paraje la Coronita, 52760 Huixquilucan de Degollado, Méx., Mexico",http://www.honda.mx/,4.1,19.4063169,-99.274736,26.19399933127893,11.559766302751749,17.154590033455534,3.849585667399914,17.045673115636067
194,Presition Car Service,"Calz. de las Águilas 1072, Puente Colorado, Álvaro Obregón, 01710 Alvaro Obregón, CDMX, Mexico",,,19.3484807,-99.2303021,27.822773337118395,10.801172285176591,18.111539930515942,4.082067285944009,9.12603837720272
195,Chevrolet Cuajimalpa,"Carr. México-Toluca 5600, Lomas de Memetla, Cuajimalpa de Morelos, 05330 Ciudad de México, CDMX, Mexico",http://www.chevrolet.com.mx/,4.1,19.3604878,-99.288871,22.47813049733642,14.707752104016768,21.291159352764485,4.054859248048973,14.552895829636817
196,SEMINUEVOS ÁGUILAS,"Calz. de las Águilas No. 1301, Col, Puente Colorado, Álvaro Obregón, 01730 Ciudad de México, CDMX, Mexico",http://www.seminuevosaguilas.com/,3.9,19.3482838,-99.23089990000001,27.756381694746082,10.857318680360672,18.164956165958525,4.060347488152288,9.148254568811376
197,Servicio Lincoln Santa Fe,"Cándido Avilés 14, Memetla, Cuajimalpa de Morelos, 05330 Ciudad de México, CDMX, Mexico",http://lincolnmylsa.mx/,4.8,19.3594646,-99.2886949,22.449741328450514,14.746962948415662,21.3497715343477,4.091805744886824,14.472142896614264
198,Quality Cars,"Prol. Centenario 50, Villa Verdún, Álvaro Obregón, 01810 Ciudad de México, CDMX, Mexico",,4.5,19.339833600000002,-99.263637,24.192137466033866,13.893809815034919,21.006752235216965,4.253258932834408,11.070614116234916
199,GRUPO SANTRO S DE RL DE CV,"Calz. de las Águilas 1109, San Clemente Sur, Álvaro Obregón, 01740 Ciudad de México, CDMX, Mexico",http://www.blackhorse.com.mx/,,19.3495971,-99.2246319,28.42949254418815,10.34171680708024,17.679071871502096,4.391243122271436,8.868914331585547
