name,formatted_address,website,rating,lat,lng
Polanco Service Center SURMAN,"Bahía de la Ascensión, Verónica Anzúres, Miguel Hidalgo, 11300 Ciudad de México, CDMX, Mexico",http://www.surman.com/,4.1,19.43768920000000,-99.17350170000000
Inversión Vacacional S.A. de C.V.,"Av. Thiers 195, Anzures, Miguel Hidalgo, 11590 Ciudad de México, CDMX, Mexico",http://www.alamo.com.mx/,4,19.4352269,-99.18034450000000
ingenieria automotriz,"Manuel María Contreras 10, San Rafael, Cuauhtémoc, 06470 Ciudad de México, CDMX, Mexico",,5,19.4420868,-99.1637952
Surtidora Montecristo,"Pedro Moreno 172, Guerrero, Cuauhtémoc, 06300 Ciudad de México, CDMX, Mexico",http://www.surtidoramontecristoautomotriz.com.mx/,4.6,19.442175,-99.147961
Harada Industries México,"Av. Insurgentes Sur 527, código 2, Hipódromo, Cuauhtémoc, 03510 Benito Juárez, CDMX, Mexico",https://www.harada.com/jp/aboutus/network/area/mexico.html,,19.4019807,-99.1700712
Arrendadora Panamericana S.A. de C.V.,"Lafontaine 323, Polanco, Polanco III Secc, Miguel Hidalgo, 11550 Ciudad de México, CDMX, Mexico",http://www.arrendadora-panamericana.com.mx/,4,19.436781,-99.1979803
Máxima,"Dr. G. Bolaños Cacho 85-B, Buenos Aires, Cuauhtémoc, 06780 Ciudad de México, CDMX, Mexico",,,19.4058179,-99.1484938
Fomento Automotriz y Servicio Al Transporte,"Av. Insurgentes Sur 136, Juárez, Cuauhtémoc, 06400 Ciudad de México, CDMX, Mexico",http://www.motosfast.com/,4,19.444413,-99.154251
Jaro Mecanica Automotriz S.A de C.V,"Santa María La Ribera 128, Cuauhtémoc, 06400 Ciudad de México, CDMX, Mexico",,5,19.4475484,-99.1573445
Hyundai Insurgentes,"Av. Insurgentes Sur 195, Roma Nte., Cuauhtémoc, 06100 Ciudad de México, CDMX, Mexico",http://www.hyundaiherencia.com/hyundai-herencia/,4.1,19.42057820000000,-99.1641674
Drivser,"Av Chapultepec 42, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico",http://www.drivser.com,5,19.4262936,-99.1515007
Peugeot Anzures,"Bahía de la Ascensión 31, Verónica Anzúres, Miguel Hidalgo, 11300 Ciudad de México, CDMX, Mexico",http://www.peugeotanzures.com.mx/eurosurman-anzures-distrito-federal/nuestra-ubicacion/,4.3,19.4376899,-99.1732172
Surman Ford Marina,"Bahía de la Ascensión 31, Verónica Anzúres, Miguel Hidalgo, 11300 Ciudad de México, CDMX, Mexico",http://www.fordsurmanmarina.mx/,4,19.438233,-99.1734544
Mercedes-Benz,"Av. Pdte. Masaryk 42, Polanco, Polanco V Secc, Miguel Hidalgo, 11580 Ciudad de México, CDMX, Mexico",http://hermer.mx/,4.2,19.4310496,-99.1828252
Dodge,"Lago Xochimilco, Anáhuac I Secc, Miguel Hidalgo, 11320 Ciudad de México, CDMX, Mexico",,4.3,19.4376368,-99.1796433
NISSAN San Cosme,"06030, Miguel Ramos Arizpe 1, Tabacalera, Cuauhtémoc, 06030 Ciudad de México, CDMX, Mexico",https://www.nissansancosme.com.mx/promociones-de-autos-nuevos-es-mx.htm,3.9,19.4383807,-99.1523498
Vende tu Auto Por Más Dinero,"Monterrey 329, Roma Sur, Cuauhtémoc, 06760 Ciudad de México, CDMX, Mexico",http://www.pormas.mx/,2.7,19.4063938,-99.16137550000000
Monarch Honda DF FAME,"Av. Dr. Río de la Loza 45, Doctores, Cuauhtémoc, 06720 Ciudad de México, CDMX, Mexico",http://www.famemonarcadf.com/,3.8,19.425262,-99.14441700000000
Ford Surman México,"Av. Dr. Río de la Loza 43, Doctores, Cuauhtémoc, 06720 Ciudad de México, CDMX, Mexico",http://www.fordsurman.mx/,4.1,19.4254601,-99.14339340000000
FORD ALDEN CONDESA,"Av. Jose Vasconcelos, Av. Revolución 111, Colonia Condesa, Cuauhtémoc, 06170 Ciudad de México, CDMX, Mexico",http://fordaldentacubaya.mx/,4.1,19.4084862,-99.1835053
Jaguar Masaryk,"Av. Pdte. Masaryk 211, Chapultepec Morales, Polanco V Secc, Miguel Hidalgo, 11560 Ciudad de México, CDMX, Mexico",https://retailers.jaguarmexico.com.mx/masaryk,4.2,19.4317525,-99.1902754
Seminuevos Monterrey,"Monterrey 414, Piedad Narvarte, Benito Juárez, 03000 Ciudad de México, CDMX, Mexico",http://www.seminuevosxola.mx/,4.6,19.402181,-99.1597344
NISSAN META,"Calz. Gral. Mariano Escobedo 208, Anáhuac I Secc, Miguel Hidalgo, 11320 Ciudad de México, CDMX, Mexico",http://www.nissanmeta.com/,4,19.4429092,-99.18294520000000
Stoner Solutions en Mexico,"Rio Mixcoac 65, primer piso., Col. Credito Constructor, Buenos Aires, Cuauhtémoc, 03940 Ciudad de México, CDMX, Mexico",,,19.4042247,-99.1458107
"Carflex Patriotismo Autos Seminuevos, CDMX","1, Avenida Patriotismo 63, Escandón I Secc, Miguel Hidalgo, 11800 Ciudad de México, CDMX, Mexico",http://carflex.mx/oficinas/venta-seminuevos/carflex-patriotismo?utm_source=google&utm_medium=organic&utm_campaign=locations&utm_content=location,4.6,19.4032957,-99.1786123
Agencia de Autos Toyota Polanco,"Lago Alberto 320, Granada, Miguel Hidalgo, 11520 Ciudad de México, CDMX, Mexico",http://www.toyotapolanco.com.mx/,4.1,19.4404068,-99.1866379
Alden Condesa,"Circuito Interior (Avenida Patriotismo) 69, Escandón I Secc, Miguel Hidalgo, 11800 Ciudad de México, CDMX, Mexico",http://fordaldentacubaya.mx/,1.5,19.4033364,-99.1789914
Hyundai Patriotismo,"Avenida Patriotismo 87, Escandón I Secc, Miguel Hidalgo, 11800 Ciudad de México, CDMX, Mexico",https://www.hyundai-patriotismo.com.mx/,4,19.4020827,-99.17889270000000
Infiniti Polanco,"Av. Presidente Masaryk Esq, Galileo 66, Polanco, Polanco IV Secc, Miguel Hidalgo, 11560 Ciudad de México, CDMX, Mexico",http://www.infinitipolanco.mx/,4.6,19.4313694,-99.1929318
Autos Seminuevos,"Narvarte Poniente, 03020 Mexico City, CDMX, Mexico",http://www.auto-plaza.com.mx/,4.5,19.4010722,-99.1558119
Surman Polanco,"Campos Elíseos 233, Polanco, Polanco IV Secc, Miguel Hidalgo, 11560 Ciudad de México, CDMX, Mexico",,4.5,19.4278857,-99.1945209
NISSAN WITT BUENAVISTA,"Av. Insurgentes Nte. 266, Sta María la Ribera, Cuauhtémoc, 06400 Ciudad de México, CDMX, Mexico",http://www.nissanbuenavista.com.mx/,4.1,19.4488634,-99.1531971
Bentley Motors Polanco,"Campos Elíseos 247, Polanco, Polanco IV Secc, Miguel Hidalgo, 11560 Ciudad de México, CDMX, Mexico",http://www.polanco.bentleymotors.com/es-MX/about-us/Find-Us/,4.9,19.4278734,-99.1950754
Grupo Automotriz Fedor,"República de Uruguay 44, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico",,1.3,19.430553,-99.13804860000000
VUHL Showroom Mexico Polanco,"Campos Elíseos 257, Polanco, Polanco IV Secc, Miguel Hidalgo, 11550 Ciudad de México, CDMX, Mexico",http://vuhlautomotive.com/,5,19.4278383,-99.19531340000000
Hyundai Polanco,"Campos Elíseos 257, Polanco, Polanco IV Secc, Miguel Hidalgo, 11560 Ciudad de México, CDMX, Mexico",http://www.hyundaipolanco.com.mx/,4.4,19.4278301,-99.1953367
Robotics and Computer Mexico,"Condominio Rena, Av. Insurgentes Sur 605-1203, Nápoles, Benito Juárez, 03810 Ciudad de México, CDMX, Mexico",https://roboticarc.com/,4.6,19.397534,-99.17170500000000
"EUROPEAN CARS, Av. Patriotismo 132-A","Circuito Interior, A, Avenida Patriotismo 132-A, Miguel Hidalgo, 11800 Ciudad de México, CDMX, Mexico",,4.3,19.4000707,-99.18020160000000
AUTOMOTRIZ ECHENIQUE,"Av. Cuauhtémoc 557, Narvarte Poniente, Benito Juárez, 03020 Ciudad de México, CDMX, Mexico",http://panel.soloautos.mx/plantilla/agencia/usados/253/iframe/,4.2,19.3985021,-99.1560214
Nutrimentos Minerales,"Laguna de Yuridia 67, Granada, Miguel Hidalgo, 11520 Ciudad de México, CDMX, Mexico",,3,19.441684,-99.1932582
Porsche Polanco,"Alejandro Dumas 245, Polanco, Polanco IV Secc, Miguel Hidalgo, 11550 Ciudad de México, CDMX, Mexico",http://www.porsche.mx/,4.3,19.4356161,-99.19533830000000
Mazda Pasion Marina Nacional,"Av. Marina Nacional 103, Anáhuac I Secc, Miguel Hidalgo, 11320 Ciudad de México, CDMX, Mexico",,3.7,19.4504359,-99.1847537
